epoch,accuracy,loss,val_accuracy,val_loss
0,0.7835506200790405,1.1861839294433594,0.8381410241127014,0.42986536026000977
1,0.8385736346244812,0.34547585248947144,0.8685897588729858,0.3842501938343048
2,0.8617714643478394,0.3146091401576996,0.8637820482254028,0.3994777500629425
3,0.8843941688537598,0.2714184522628784,0.817307710647583,0.44033384323120117
4,0.8909125924110413,0.2582361400127411,0.8830128312110901,0.35782432556152344
5,0.8891870975494385,0.2523818910121918,0.8926281929016113,0.31304123997688293
6,0.9097009301185608,0.22530917823314667,0.8846153616905212,0.3364115357398987
7,0.9041411280632019,0.22520290315151215,0.879807710647583,0.34453514218330383
8,0.9093174934387207,0.21290551126003265,0.8766025900840759,0.3447180390357971
9,0.9035659432411194,0.22161217033863068,0.8782051205635071,0.35090988874435425
10,0.9183282256126404,0.20744647085666656,0.8830128312110901,0.345453679561615
11,0.9164110422134399,0.2118539810180664,0.8846153616905212,0.33580031991004944
12,0.9118098020553589,0.20626632869243622,0.8830128312110901,0.3407743573188782
13,0.9118098020553589,0.21507874131202698,0.8814102411270142,0.33696916699409485
14,0.9135352969169617,0.21565885841846466,0.8862179517745972,0.3335784375667572
15,0.9146856069564819,0.20864614844322205,0.8862179517745972,0.3342709243297577
16,0.9127684235572815,0.21080215275287628,0.8862179517745972,0.33478182554244995
17,0.9127684235572815,0.21759776771068573,0.8862179517745972,0.3338329792022705
18,0.9139187335968018,0.21203194558620453,0.8862179517745972,0.33354711532592773
19,0.915069043636322,0.20605923235416412,0.8862179517745972,0.3335663676261902
20,0.9100843667984009,0.21262364089488983,0.8862179517745972,0.33355215191841125
